title,isbn_10,isbn_13,amazon_url
A Good Kind of Trouble,62836692,978-0062836694,https://www.amazon.com/Good-Kind-Trouble-Moore-Ram%C3%A9e/dp/0062836692/ref=sr_1_27?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140791&s=books&sr=1-27
When the Moon Was Ours: A Novel,1250160103,978-1250160102,https://www.amazon.com/When-Moon-Was-Ours-Novel/dp/1250160103/ref=sr_1_23?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140791&s=books&sr=1-23
What's Mine and Yours,139870332X,9781398703322,https://www.amazon.com/Whats-Mine-Yours-Naima-Coster-ebook/dp/B08CDYFLLY/ref=sr_1_28?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140791&s=books&sr=1-28
The Tale of the Black Unicorn,0996904948,978-0996904940,https://www.amazon.com/Black-Unicorn-Sandra-Elaine-Scott/dp/0996904948/ref=sr_1_29?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140791&s=books&sr=1-29
Crocodile Rescue! (Wild Survival #1) (1),1338635050,978-1338635058,https://www.amazon.com/Crocodile-Survival-Melissa-Cristina-M%C3%A1rquez/dp/1338635050/ref=sr_1_32?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140791&s=books&sr=1-32
Jaguares y Mariposas (Spanish Edition),1949791440,978-1949791440,https://www.amazon.com/Jaguares-Mariposas-Spanish-Catherine-Russler/dp/1949791440/ref=sr_1_38?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-38
Camila the Stage Star (Camila the Star),1515883191,978-1515883197,https://www.amazon.com/Camila-Stage-Star/dp/1515883191/ref=sr_1_41?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-41
Latinitas: Celebrating 40 Big Dreamers,125023462X,978-1250234629,https://www.amazon.com/Latinitas-Celebrating-40-Big-Dreamers/dp/125023462X/ref=sr_1_43?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-43
Wild Tongues Can't Be Tamed: 15 Voices from the Latinx Diaspora,1250763428,978-1250763426,https://www.amazon.com/Wild-Tongues-Cant-Be-Tamed/dp/1250763428/ref=sr_1_42?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-42
Saraí y el significado de lo genial (Sarai and the Meaning of Awesome) (1) (Spanish Edition),1338330551,978-1338330557,https://www.amazon.com/Sara%C3%AD-significado-Meaning-Awesome-Spanish/dp/1338330551/ref=sr_1_44?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-44
My Grandma/Mi Abuelita: Bilingual Spanish-English Children's Book,60790989,978-0060790981,https://www.amazon.com/Grandma-Abuelita-Ginger-Foglesong-Guy/dp/0060790989/ref=sr_1_33?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-33
12 Ways to Cope With Your Latina Mom & Her Difficulties: a guided journal,1704366798,978-1704366791,https://www.amazon.com/Ways-Cope-Your-Latina-Difficulties/dp/1704366798/ref=sr_1_35?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-35
Little Night/Nochecita,1250073243,978-1250073242,https://www.amazon.com/Little-Night-Nochecita-Yuyi-Morales/dp/1250073243/ref=sr_1_37?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-37
Translingual Partners in Early Childhood Elementary-Education: Pedagogies on Linguistic and Cognitive Engagement (Critical Studies of Latinxs in the Americas Book 12),,,https://www.amazon.com/Translingual-Partners-Early-Childhood-Elementary-Education-ebook/dp/B07RYY2D3T/ref=sr_1_48?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-48
The Total Eclipse of Nestor Lopez,374313601,978-0374313609,https://www.amazon.com/Total-Eclipse-Nestor-Lopez/dp/0374313601/ref=sr_1_34?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-34
Brown Baby Lullaby,374307520,978-0374307523,https://www.amazon.com/Brown-Baby-Lullaby-Tameka-Fryer/dp/0374307520/ref=sr_1_36?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-36
Evelyn Del Rey se muda (Spanish Edition),1536213349,978-1536213348,https://www.amazon.com/Evelyn-Del-Rey-muda-Spanish/dp/1536213349/ref=sr_1_39?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-39
"I Love You, Baby Burrito",1250231094,978-1250231093,https://www.amazon.com/I-Love-You-Baby-Burrito/dp/1250231094/ref=sr_1_46?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-46
"The Shadow Crosser (A Storm Runner Novel, Book 3) (Storm Runner, 3)",1368052770,978-1368052771,https://www.amazon.com/Shadow-Crosser-Storm-Runner-Novel/dp/1368052770/ref=sr_1_40?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-40
Abuela (Spanish Edition),140562265,978-0140562262,https://www.amazon.com/Abuela-Spanish-Arthur-Dorros/dp/0140562265/ref=sr_1_47?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-47
DREAMers NIGHTMARE: THE U.S. WAR ON IMMIGRANT LATINX CHILDREN,1694314529,978-1693665455,https://www.amazon.com/DREAMers-NIGHTMARE-IMMIGRANT-LATINX-CHILDREN/dp/169366545X/ref=sr_1_45?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140803&s=books&sr=1-45
Womens Mexicana Latinx Latina Proud - Saving Tracker,,979-8744544942,https://www.amazon.com/Womens-Mexicana-Latinx-Latina-Proud/dp/B093RX5ZZC/ref=sr_1_50?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-50
Womens Mexicana Latinx Latina Proud - Debt Tracker,,979-8742553670,https://www.amazon.com/Womens-Mexicana-Latinx-Latina-Proud/dp/B093C5N9GB/ref=sr_1_51?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-51
Hogar (Spanish Edition),1536210684,978-1536210682,https://www.amazon.com/Hogar-Spanish-Carson-Ellis/dp/1536210684/ref=sr_1_52?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-52
Alejandria Fights Back! / ¡La Lucha de Alejandria!,1558617043,978-1558617049,https://www.amazon.com/Alejandria-Fights-Back-%C2%A1-Lucha/dp/1558617043/ref=sr_1_56?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-56
Your Bridge to History: Tu puente a la historia: (Bilingual Edition: English and Spanish) (Spanish Edition),1734587911,978-1734587913,https://www.amazon.com/Your-Bridge-History-historia-Bilingual/dp/1734587911/ref=sr_1_64?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-64
Not So Bad After All,1645431967,978-1645431961,https://www.amazon.com/Not-So-Bad-After-All/dp/1645431967/ref=sr_1_49?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-49
Courageous History Makers: 11 Women from Latin America Who Changed the World,1736274406,978-1736274408,https://www.amazon.com/Courageous-History-Makers-America-Changed/dp/1736274406/ref=sr_1_53?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-53
The Poet X,62662813,978-0062662811,https://www.amazon.com/Poet-X-Elizabeth-Acevedo/dp/0062662813/ref=sr_1_54?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-54
My Year in the Middle,1536213179,978-1536213171,https://www.amazon.com/Year-Middle-Lila-Quintero-Weaver/dp/1536213179/ref=sr_1_55?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-55
Zombies Don't Eat Veggies,1620147947,978-1620147948,https://www.amazon.com/Zombies-Dont-Veggies-Megan-Lacera/dp/1620147947/ref=sr_1_58?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-58
A Song of Frutas,1534444890,978-1534444898,https://www.amazon.com/Song-Frutas-Margarita-Engle/dp/1534444890/ref=sr_1_57?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-57
A Sled for Gabo,153444534X,978-1534445345,https://www.amazon.com/Sled-Gabo-Emma-Otheguy/dp/153444534X/ref=sr_1_59?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-59
Barely Missing Everything,1534404457,978-1534404458,https://www.amazon.com/Barely-Missing-Everything-Matt-Mendez/dp/1534404457/ref=sr_1_60?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-60
Biblioburro: A True Story from Colombia,1416997784,978-1416997788,https://www.amazon.com/Biblioburro-Story-Colombia-Jeanette-Winter/dp/1416997784/ref=sr_1_61?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-61
A Kingdom Beneath the Waves (Garza Twins) (Volume 2),1925148939,978-1925148930,https://www.amazon.com/Kingdom-Beneath-Waves-Garza-Twins/dp/1925148939/ref=sr_1_62?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-62
"The Gumazing Gum Girl! Stick Together! (The Gumazing Gum Girl!, 5)",759554781,978-0759554788,https://www.amazon.com/Gumazing-Gum-Girl-Stick-Together/dp/0759554781/ref=sr_1_63?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140814&s=books&sr=1-63
(M)othering Labeled Children: Bilingualism and Disability in the Lives of Latinx Mothers (Bilingual Education & Bilingualism),1800411278,978-1800411272,https://www.amazon.com/othering-Labeled-Children-Bilingualism-Disability/dp/1800411278/ref=sr_1_65?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-65
Alicia Alonso Dances On (She Made History),807514543,978-0807514542,https://www.amazon.com/Alicia-Alonso-Dances-Made-History/dp/0807514543/ref=sr_1_66?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-66
